year,league,w,l,finish,playoffs,stadium,attendance,attend_g,rank
1920,AL,61,93,7,,Navin Field,579650,7431,4th of 8
1919,AL,80,60,4,,Navin Field,643805,9197,1st of 8
1918,AL,55,71,7,,Navin Field,203719,3512,4th of 8
1917,AL,78,75,4,,Navin Field,457289,6017,3rd of 8
1916,AL,87,67,3,,Navin Field,616772,8010,2nd of 8
1915,AL,100,54,2,,Navin Field,476105,6183,3rd of 8
1914,AL,80,73,4,,Navin Field,416225,5336,3rd of 8
1913,AL,66,87,6,,Navin Field,398502,5243,5th of 8
1912,AL,69,84,6,,Navin Field,402870,5301,4th of 8
1911,AL,89,65,2,,Bennett Park,484988,6381,4th of 8
1910,AL,86,68,3,,Bennett Park,391288,5017,4th of 8
1909,AL,98,54,1,1,Bennett Park,490490,6288,4th of 8
1908,AL,90,63,1,1,Bennett Park,436199,5592,5th of 8
1907,AL,92,58,1,1,Bennett Park,297079,3760,7th of 8
1906,AL,71,78,6,,Bennett Park,174043,2231,7th of 8
1905,AL,79,74,3,,Bennett Park & Neil Park II,193384,2545,8th of 8
1904,AL,62,90,7,,Bennett Park,177796,2251,7th of 8
1903,AL,65,71,5,,"Bennett Park, Armory Park & Ramona Park",224523,3454,6th of 8
1902,AL,52,83,7,,Bennett Park & Burns Park,189469,2828,6th of 8
1901,AL,74,61,3,,Bennett Park & Burns Park,259430,3706,3rd of 8
